District,Type,X12..Women.who.are.literate....,X39..Children.who.received.postnatal.care.from.a.doctor.nurse.LHV.ANM.midwife.other.health.personnel.within.2.days.of.delivery....,X48..Children.age.12.23.months.who.have.received.BCG....,X49..Children.age.12.23.months.who.have.received.3.doses.of.polio.vaccine....,X50..Children.age.12.23.months.who.have.received.3.doses.of.DPT.vaccine....,X51..Children.age.12.23.months.who.have.received.measles.vaccine....,X52..Children.age.12.23.months.who.have.received.3.doses.of.Hepatitis.B.vaccine....,X53..Children.age.9.59.months.who.received.a.vitamin.A.dose.in.last.6.months....,X67..Total.children.age.6.23.months.receiving.an.adequate.diet9.10....,X68..Children.under.5.years.who.are.stunted11....,X69..Children.under.5.years.who.are.wasted11....,X70..Children.under.5.years.who.are.severely.wasted12....,X71..Children.under.5.years.who.are.underweight11....,X76..Children.age.6.59.months.who.are.anaemic...11.0.g.dl.....,state
Purnia,Total,-1.85202106692702,-0.4976719633202637,0.47733219850384384,0.027826218612324736,0.4945141806658079,0.6708399883071168,0.25677498551506306,0.6929436940599338,0.14267585216130438,1.607847383661135,0.02828955411266623,-0.46411477243163535,1.2036642413857352,0.682732562407068,BR
Katihar,Total,-1.9143829892328565,-1.211384898601621,0.5404432357637052,0.48032455924713235,0.5012569547990431,0.438638426266204,-0.4266907822743312,0.2690185575116059,-0.3068300575894238,1.314299559302339,0.015247145917556536,-0.36769035826210444,1.0415996834075578,0.3485766092905115,BR
Madhepura,Total,-2.440994777593255,-1.49990714903451,0.4247396674539589,0.17630223663312145,0.26525986013579766,-0.1755721571968572,0.32400112660910196,-0.14344914291379407,-0.8864560991100998,1.5774803673481557,0.4717314327463893,0.3554927480093784,1.3913179400973095,0.3550026853119838,BR
Saharsa,Total,-1.9975322189739724,-1.0443457009825798,0.5719987543936359,0.6782925832748603,0.6361124374637548,0.6184073775236846,0.7049492594753215,0.022683680868658962,-0.8982852019982769,0.7778156044397111,0.44564661635617037,0.6929781976027372,0.9818916883629659,0.8048280068150409,BR
Darbhanga,Total,-1.6857226074447893,-1.3328679514154687,0.014517925264855697,-0.5377967071811843,-0.41576032732099577,-0.3853026003305851,-0.15778621789817632,0.6241990773223671,-0.47243749802390267,1.2940548817603528,-0.519491590081933,-0.6569636007706974,0.7004111402956051,0.9012191471371245,BR
Muzaffarpur,Total,-0.9720250521668815,-1.4771290766319134,-0.13274116167482278,-0.2903366771465241,-0.15953491025804384,-0.10815880047530237,-0.22501235899221483,-0.05178965393037181,-0.3186591604776009,1.18270915527943,-0.4021099163259476,-0.48822087597401825,0.8027677032291907,0.16864648068928903,BR
Gopalganj,Total,-0.7502937728572401,-1.1886068261990244,0.17229551841451055,0.40962169352294375,0.23154598946961977,0.09408126968936426,0.19515102284552704,0.41796522710966666,-0.3659755720303091,-0.06233851355270511,-0.5325339982770427,-0.5364330830587836,-0.20373849895106955,0.46424597767701203,BR
Siwan,Total,-0.4315550588496306,-1.1050872273895038,-0.6691849783836487,-0.2479149577120103,-0.16627768439127905,-0.27294700579465936,0.08870963277996614,0.6241990773223671,-0.058418896937705564,0.17047527818013292,-0.7281701212036853,-0.39179646180448713,-0.10991164959528243,0.46424597767701203,BR
Saran,Total,-0.7156482604651085,-0.7937869045540182,-0.36414829829431533,-0.1560012322705653,-0.4494741979871737,-0.8646864703505356,-0.023333935710098466,0.011226244745731024,-0.6617031442347356,1.0005070574015569,-0.3238554671552904,-0.7292819113978459,0.6407031452510132,0.387133065419345,BR
Vaishali,Total,-0.9512377447316024,-1.1886068261990244,0.21436954325441912,0.21872395606763423,0.3326876014681535,0.18396574531810508,0.31839894818459824,0.9335498526414164,-0.058418896937705564,1.7698048039970227,-0.7151277130085758,-0.6569636007706974,0.7174705674512024,0.7405672466003185,BR
Samastipur,Total,-1.2353309463470803,-0.9380480297704628,-0.2168892113546384,-0.2691258174292677,0.278745408402269,-0.36283148142340016,0.14473141702499845,0.19454522271257557,-0.6380449384583816,1.314299559302339,-0.28472824256996226,-0.36769035826210444,0.7174705674512024,0.6120457261708737,BR
Begusarai,Total,-1.1868272289980961,-0.3078546932986262,0.8559984220630149,0.657081723557604,0.7305112753290532,0.8880608044099071,0.7945841142673729,0.36067804649502777,-0.6735322471229127,0.8790389921496409,-0.28472824256996226,-0.44000866888925266,0.5298168687396289,0.43854167359112317,BR
Khagaria,Total,-1.6372188900958051,-0.6571184701384392,0.6456282978634751,0.04196679175716266,0.7507395977287599,0.2214176101634137,0.5817013341362502,0.3893216368023472,-0.4369501893593715,1.3750335919282963,-0.46732195730149517,-0.24715984055019063,0.8112974168069895,0.48352420574142857,BR
Bhagalpur,Total,-0.916592232339471,-1.1810141353981587,0.7297763475432907,0.5086057055368072,0.6900546305296402,0.36373469657558677,0.2791836992130755,0.7387734385516448,-0.38963377780666325,1.0511187512565217,0.328264942600185,0.04211340195840256,0.6748219995622083,0.9140712991800682,BR
Banka,Total,-1.7411554272721994,-1.2265702802033518,0.5930357668135902,0.22579424264005268,0.1371471516043222,0.4611095451733889,0.10551616805347568,0.2403749672042865,-0.5670703211293191,1.3547889143863108,0.7064947802583605,0.4037049550941442,1.3316099450527175,0.9333495272444856,BR
Munger,Total,-0.36919313654379404,0.132521373151573,0.27748058051428043,-0.021665787394607505,0.8046817907946443,0.20643686422529003,0.6713361889283016,0.503895998031625,0.07170123483224207,1.0511187512565217,0.11958641147843269,-0.48822087597401825,0.9221836933183746,0.4256895215481785,BR
Lakhisarai,Total,-1.0690324868648495,-0.26989123929429865,-0.2168892113546384,0.169231950060702,0.13040437747108605,-0.9021383351958442,-0.040140470983608394,0.13152932403647272,-0.2595136460367155,1.4560123020962406,-0.06300730325310024,-0.295372047634956,1.2292533821191314,0.6698804103641234,BR
